EntrezID	S_HCC_Ctrl_R1	S_HCC_Ctrl_R2	S_HCC_Ctrl_R3	S_HCC_TGFb_R1	S_HCC_TGFb_R2	S_HCC_TGFb_R3	S_NCI_Ctrl_R1	S_NCI_Ctrl_R2	S_NCI_Ctrl_R3	S_NCI_TGFb_R1	S_NCI_TGFb_R2	S_NCI_TGFb_R3	T_Ctrl1_R1	T_Ctrl1_R2	T_Ctrl1_R3	T_TGFb_R1	T_TGFb_R2	T_TGFb_R3	T_Ctrl2_R1	T_Ctrl2_R2	T_Ctrl2_R3	W_Ctrl_R1	W_Ctrl_R2	W_Ctrl_R3	W_TGFb_R1	W_TGFb_R2	W_TGFb_R3
94025	10.05379	9.452468	9.418474	4.882809	5.130803	4.698837	6.18799	6.245378	6.462371	4.228458	4.473046	4.298202	5.096158	5.058451	5.032706	5.076154	5.049973	4.98864	4.90579	5.063415	4.994461	2.545633	2.580998	2.700579	2.716356	2.751021	2.749405
94081	9.317631	9.513983	9.619526	9.125649	9.148668	9.033596	7.219537	7.360815	7.417914	6.730213	6.5671	6.657383	9.129095	9.36654	9.315736	8.310049	8.567905	8.73867	8.440517	8.207284	8.521737	6.031974	5.902412	6.113749	6.079773	6.072397	6.240817
94104	9.546185	9.429434	9.270614	9.530018	9.515238	9.62991	9.356383	9.466624	9.276593	9.131205	9.097178	9.25787	9.349304	9.615968	9.496609	9.298057	9.292219	9.049291	9.735078	9.564919	9.365	4.347893	4.065964	4.074776	4.510515	4.388543	4.568422
94134	10.8461	10.44103	10.38346	9.303772	9.329024	9.285717	8.885812	8.904376	9.145169	8.368884	8.335413	8.318717	8.591944	8.798515	8.761341	8.733639	8.756412	8.707262	9.331756	9.376924	8.962193	3.055222	3.160634	3.9565	3.224066	2.924388	3.200049
94239	9.082186	9.126464	9.08826	10.53744	10.50411	10.54215	10.65762	10.70611	10.69139	10.98523	11.0855	11.06501	8.332358	8.363198	8.513748	9.235784	9.136529	9.031621	7.556493	7.784591	7.606267	9.457033	9.28835	9.225767	9.544646	9.519374	9.446196
95681	8.632675	8.627296	8.589313	8.784821	8.860456	8.82605	5.733088	5.669667	5.538912	5.518344	5.478776	5.323925	5.196401	5.210847	5.204105	5.181912	5.189525	5.232348	5.210847	5.211972	5.210847	3.113324	2.979653	3.043606	3.192029	3.169792	3.223513
96764	8.197825	8.127888	8.22181	8.005977	8.050639	8.02364	5.241534	5.417748	5.383004	5.570392	5.516752	5.514086	8.064609	7.938854	8.167507	8.048638	7.998362	7.878877	7.797074	8.024832	7.776926	4.223351	3.944527	4.348457	3.957304	4.700493	4.189527
103910	12.51371	12.45033	12.58137	12.05707	12.06731	11.96217	12.79756	12.73465	12.85922	12.42408	12.42606	12.37239	13.0989	13.12698	13.04775	12.90051	12.98971	13.07907	13.18651	13.10419	13.04775	9.923268	10.02197	10.05061	9.976385	9.9249	10.07152
112399	9.258939	9.191814	9.243585	6.102902	5.891498	5.807711	9.009914	8.838869	8.721127	8.383947	8.256276	8.271047	7.196497	6.805812	6.460047	5.393579	5.202984	5.254881	5.732222	5.643948	5.620913	4.603497	4.804215	4.904502	4.367337	3.926493	4.123297
112464	6.858873	7.470645	7.534591	8.875513	9.138432	8.982587	8.388088	8.320853	8.171446	8.694876	8.658347	8.701828	8.81435	8.739336	8.552095	9.47461	9.41606	9.758332	8.970768	8.666032	8.79673	5.699129	6.308058	5.777314	5.696145	5.875272	6.123438
112479	8.752591	8.938952	8.925059	9.04845	9.117793	9.138022	9.166677	9.080027	8.942517	8.824666	8.837748	8.851347	9.742991	9.752373	9.727415	9.708088	9.745065	9.678384	9.727415	9.707067	9.474692	3.580997	3.724442	3.750934	3.846191	3.430472	3.320033
112611	6.503498	6.413279	6.32829	6.608258	6.597909	7.003425	5.44501	5.567556	5.945018	6.449523	6.324398	6.579344	6.619559	6.476988	6.412298	6.122232	6.185793	6.088768	5.999325	5.966381	6.143974	4.607133	3.76423	4.452486	4.523813	4.166712	4.475265
112869	7.636957	7.651894	7.695193	7.95941	7.960846	7.921612	7.532442	7.516639	7.435596	7.40468	7.428888	7.435162	7.653394	7.611603	7.356441	7.63575	7.762972	7.795582	7.319081	7.236606	7.226794	5.718989	5.824081	5.390702	5.532556	5.5359	5.372224
112950	8.623698	8.747468	8.755139	9.103651	9.038326	8.982627	7.848105	7.875663	7.850575	8.083752	8.046422	8.0636	8.317356	8.163524	8.159365	8.371489	8.376382	8.510356	8.12274	8.169725	8.225839	5.339827	5.301481	5.499157	5.661527	5.539918	5.687985
