"SampleIds","Gender","Runs","Biology"
"Sample_467","female","Run2","Activated_48hours"
"Sample_468","male","Run2","Activated_48hours"
"Sample_469","female","Run2","Activated_48hours"
"Sample_470","female","Run2","Activated_48hours"
"Sample_471","male","Run2","Activated_48hours"
"Sample_472","female","Run2","Activated_48hours"
"Sample_473","female","Run2","Activated_48hours"
"Sample_474","female","Run2","Activated_48hours"
"Sample_475","male","Run2","Activated_48hours"
"Sample_476","male","Run2","Activated_48hours"
"Sample_477","female","Run2","Activated_48hours"
"Sample_478","female","Run2","Activated_48hours"
"Sample_479","female","Run2","Activated_48hours"
"Sample_480","female","Run2","Activated_48hours"
"Sample_481","male","Run2","Activated_48hours"
"Sample_482","female","Run2","Activated_48hours"
"Sample_483","female","Run2","Activated_48hours"
"Sample_484","female","Run2","Activated_48hours"
"Sample_485","male","Run2","Activated_48hours"
"Sample_486","male","Run2","Activated_48hours"
"Sample_487","male","Run2","Activated_48hours"
"Sample_488","male","Run2","Activated_48hours"
"Sample_489","male","Run2","Activated_48hours"
"Sample_490","female","Run2","Activated_48hours"
"Sample_491","female","Run2","Activated_48hours"
"Sample_492","female","Run2","Activated_48hours"
"Sample_493","female","Run2","Activated_48hours"
"Sample_494","female","Run2","Activated_48hours"
"Sample_495","male","Run2","Activated_48hours"
"Sample_496","female","Run2","Activated_48hours"
"Sample_497","female","Run2","Activated_48hours"
"Sample_498","female","Run2","Activated_48hours"
"Sample_499","female","Run2","Activated_48hours"
"Sample_500","female","Run2","Activated_48hours"
"Sample_501","female","Run2","Activated_48hours"
"Sample_502","female","Run2","Activated_48hours"
"Sample_503","female","Run2","Activated_48hours"
"Sample_477","female","Run2","Activated_48hours"
"Sample_505","female","Run2","Activated_48hours"
"Sample_492","female","Run2","Activated_48hours"
"Sample_507","female","Run2","Activated_48hours"
"Sample_508","male","Run2","Activated_48hours"
"Sample_509","female","Run2","Activated_48hours"
"Sample_510","female","Run2","Activated_48hours"
"Sample_511","male","Run2","Activated_48hours"
"Sample_512","female","Run2","Activated_48hours"
"Sample_513","female","Run2","Activated_48hours"
"Sample_514","male","Run2","Activated_48hours"
"Sample_515","female","Run2","Activated_48hours"
"Sample_489","male","Run2","Activated_48hours"
"Sample_517","male","Run2","Activated_48hours"
"Sample_518","male","Run2","Activated_48hours"
"Sample_519","female","Run2","Activated_48hours"
"Sample_520","female","Run2","Activated_48hours"
"Sample_521","male","Run2","Activated_48hours"
"Sample_522","female","Run2","Activated_48hours"
"Sample_523","female","Run2","Activated_48hours"
"Sample_524","male","Run2","Activated_48hours"
"Sample_525","female","Run2","Activated_48hours"
"Sample_526","male","Run2","Activated_48hours"
"Sample_527","male","Run2","Activated_48hours"
"Sample_528","male","Run2","Activated_48hours"
"Sample_529","male","Run2","Activated_48hours"
"Sample_530","male","Run2","Activated_48hours"
"Sample_531","female","Run2","Activated_48hours"
"Sample_532","female","Run2","Activated_48hours"
"Sample_533","male","Run2","Activated_48hours"
"Sample_534","female","Run2","Activated_48hours"
"Sample_535","female","Run2","Activated_48hours"
"Sample_536","female","Run2","Activated_48hours"
"Sample_537","female","Run2","Activated_48hours"
"Sample_538","male","Run2","Activated_48hours"
"Sample_539","female","Run2","Activated_48hours"
"Sample_540","female","Run2","Activated_48hours"
"Sample_541","male","Run2","Activated_48hours"
"Sample_542","female","Run2","Activated_48hours"
"Sample_543","female","Run2","Activated_48hours"
"Sample_544","female","Run2","Activated_48hours"
"Sample_545","male","Run2","Activated_48hours"
"Sample_546","male","Run2","Activated_48hours"
